"","state","frac_with_price","ad_count","unemp","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018","lths","hs","sc","coll.plus","ads.per.capita","ads.with.price.rate","frac_with_cup","age_count","ads.with.cup.rate","ads.with.age.rate","median.income","completeness","partial","black"
"1","Alabama",0.101090188305253,10090,6.58333333333333,4747424,42934,3307557,1244112,18195,12195,23593,46193,42564,54700,55079,30709,471910,82352,227286,89907,210681,74184,27399,17689,0.0596593015496404,0.0994033817076377,0.0841603783441294,0.756776938398593,0.00212536314430731,0.101090188305253,0.114767096134787,0.0326065411298315,0.114767096134787,0.0326065411298315,42934,0.248463825569871,0.127865815215488,0.262060435301334
"2","Alaska",0.173280423280423,756,6.31666666666667,700703,69014,472504,23426,1223,1093,1636,2989,2267,3466,4233,2939,67463,16722,47688,17003,35924,13711,4573,3318,0.0283229842030076,0.0962790226386929,0.116187600167261,0.759210392991039,0.0010789164596127,0.173280423280423,0.12037037037037,0.0291005291005291,0.12037037037037,0.0291005291005291,69014,0.322751322751323,0.115400184821783,0.0334321388662529
"3","Arizona",0.136354679802956,15225,7.975,6337373,50752,4987541,252127,22193,19848,46052,45912,37742,44431,48898,40587,486529,140284,363029,149974,346128,133912,41529,29155,0.0482318146651617,0.0767714003894042,0.103084827104228,0.771911957841206,0.00240241500697529,0.136354679802956,0.143448275862069,0.0395402298850575,0.143448275862069,0.0395402298850575,50752,0.319343185550082,0.135087985001445,0.0397841503095999
"4","Arkansas",0.0755778894472362,4975,7.33333333333333,2895928,40149,2271277,449283,10686,8051,15312,30822,22841,28901,32085,18136,330084,56484,137363,43371,119495,36535,15356,9347,0.0576098577036446,0.113982115577459,0.0819143293617797,0.746493697357117,0.0017179294512847,0.0755778894472362,0.0906532663316583,0.025929648241206,0.0906532663316583,0.025929648241206,40149,0.1921608040201,0.0920892498767232,0.155143014605335
"5","California",0.136216090888013,60382,8.89166666666667,36969200,61632,22860341,2252129,243288,214702,486253,235044,262942,214373,290957,316667,2464139,637004,1837959,816783,2216682,842685,313017,217408,0.0612462806877076,0.0666538361663222,0.0890402280817545,0.783059655064215,0.00163330556246822,0.136216090888013,0.209764499354112,0.0894140637938459,0.209764499354112,0.0894140637938459,61632,0.435394654035971,0.255200755759357,0.0609190623546087
"6","Colorado",0.136319548540693,11341,6.90833333333333,4966061,57685,4167044,195640,12500,11639,24952,24095,22308,24685,29897,24865,373269,94790,258878,116779,374121,148775,42409,29250,0.0352273159753777,0.075163998186893,0.0947324247527366,0.794876261084993,0.00228370130773665,0.136319548540693,0.175205008376686,0.0385327572524469,0.175205008376686,0.0385327572524469,57685,0.350057314169826,0.151222983980572,0.0393954081514504
"7","Connecticut",0.134164104223984,6179,7.93333333333333,3558172,69243,2796198,347941,10257,8056,13984,22610,16636,22133,21741,20390,327186,59088,134500,68406,236672,119519,40468,22966,0.0381676321436963,0.0919533962945018,0.0736316288251383,0.796247342736664,0.00173656585460174,0.134164104223984,0.187732642822463,0.0624696552840265,0.187732642822463,0.0624696552840265,69243,0.384366402330474,0.218380236970145,0.0977864476478371
"8","Delaware",0.106177606177606,518,7.025,890856,59317,630804,188519,2595,1760,3162,5623,5887,7468,7888,4209,89036,17669,38874,17645,46411,20618,6832,6351,0.0433201325466742,0.0999443232127302,0.0832772075397146,0.773458336700881,0.000581463221889958,0.106177606177606,0.138996138996139,0.0328185328185328,0.138996138996139,0.0328185328185328,59317,0.277992277992278,0.127662570003289,0.211615569744156
"9","Florida",0.144102367420941,28681,7.06666666666667,18688787,47827,14270053,2946899,74547,56523,111680,124283,124552,154296,158419,152422,1826792,376911,870788,480337,1060716,382720,162235,82138,0.0511923004954789,0.0977480239889298,0.0924637859054202,0.758595889610171,0.00153466353915853,0.144102367420941,0.128098741327011,0.040061364666504,0.128098741327011,0.040061364666504,47827,0.312262473414456,0.1692973653889,0.157682732432019
"10","Georgia",0.1385,18000,8.3,9600612,49736,5849795,2922448,35962,27198,55008,73152,75645,95289,90450,49128,871947,154626,420954,169023,523196,184729,64460,38125,0.0522708344009736,0.0908220225960595,0.0775578681859031,0.779349274817064,0.00187488047636963,0.1385,0.115444444444444,0.0251666666666667,0.115444444444444,0.0251666666666667,49736,0.279111111111111,0.139717862703737,0.304402261022526
